,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
89,miroro,mandry,matoro,miroro,mandry,miroro,mandry,mandry,mandry,mandry,matory,mandry,matory,miroro,mandrimandry,miroro,matory,matoro,miroro,mandry,mandry,mandry,matory,matory
90,velo,velogno,velogno,velo,velogno,velo,velogno,velogno,velo,velona,velo,velogno,velo,velogne,velona,velo,velona,velogno,velo,velogna,velo,velogna,velogny,velo
91,aty,aty,aty,ate,haty,aty,aty,aty,aty,aty,aty,aty,aty,ate,aty,aty,aty,ato,atene,aty,aty,aty,aty,aty
92,habo,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,lava,jingo,lava,lava,lava,lava,lava,lava,abo
93,hao,ho,hao,hao,hao,hao,hao,hao,hao,hao,hao,ho,hao,hao,hao,hao,hao,aha,hao,hao,hao,hao,hao,hao
94,lelaky,lilahy,lelahy,johary,lelahy,johary,lilahy,lelahy,lelahy,lehilahy,johary,lalahy,lelahy,lahilahy,lehilahy,lahilahy,lelahy,lalahy,lahilahy,lilahy,lelahy,lehilahy,lela,lehilahy
95,maro,maro,betsaka,maro,maro,maro,maro,maro,treka,betsaka,maro,fontry,maro,maro,betsaka,maro,betsaka,fontry,maro,maro,maro,maro,maro,lako
96,hena,hena,hena,hena,hena,hena,haina,haina,hena,hena,hena,ambomaty,hena,hena,hena,hena,hena,haina,hene,hena,hena,hena,laoky,hena
97,neny,mama,mama,nene,nindry,neny,reny,nindry,mama,reny,neny,niny,endry,nene,reny,nene,neny,niny,ene,endry,endry,iendry,endry,endry
98,vohitse,tavirana,bongo,zitse,bongo,vohitse,tanety,bongo,bongo,tendrombohitra,vohitry,tanety,tendrobohisy,vohitse,tendrombohitse,vohitse,havoana,tanety,vohitse,vohitry,vohitry,vohitry,vohisitry,vohitry
99,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,vava,fitava,vava,vava,vava,vava,vava
100,agnara,agnaragna,agnaragna,agnara,agnarana,agnara,anaragna,agnaragna,anarana,anarana,agnara,agnaragna,agnara,agnaragne,anarana,anara,anarana,agnaragna,agnare,agnarana,agnara,agnara,agnarana,agnara
101,maletsy,tery,maletry,tsiombe,maletry,maifitsy,mahety,tery,tery,tery,hifotsy,mahety,tery,tere,tery,maifitse,mahety,mahety,titse,tery,pitsa,tery,pitsa,tery
102,akaiky,marivo,marikitry,marineke,marikitry,mariniky,marikitry,marikitry,marikitra,akaiky,mariny,mariny,mariny,marine,akaiky,marine,akaiky,mariny,marine,marivo,akeky,akeky,akeky,mariny
103,akaiky,ambozogna,vozogno,vozo,vozogno,vozo,vozogno,vozogno,vozona,vozona,vozo,tenda,vozo,vozo,vozona,vozo,tenda,ambozogno,vozo,vozogna,vozo,vozogna,vozo,vozo
104,vao,vo,vao,vao,vaovao,vao,vaovao,vao,vaovao,vao,vao,vaovao,vao,vao,vao,vaovao,vaovao,mbalava,vao,vao,vao,vao,vao,vao
105,aliky,alina,aligny,ale,aligny,haliky,aligny,aligny,alina,alina,herignaly,androaligny,hariva,halegne,alina,halike,alina,haligny,haleke,hariva,ariva,aligna,ariva,haly
106,oro,orona,orogno,oro,orogno,oro,orogno,orogno,orona,orona,oro,orogno,oro,fagnatsogne,orona,oro,orona,horogno,oro,orogna,oro,orogna,vatagnoro,oro
107,tsy,tsy,tsy,tsie,tsy,tsy,tsy,tsy,tsy,tsy,tsy,ahe,tsy,tsy,tsa,tsy,tsy,tsy,tsy,tsy,aeky,tsy,tsy,tsy
108,antitsy,antitra,matoe,antitse,matoa,antitsy,antitry,matoe,antitra,antitra,antitry,antitry,antisy,antetre,antitra,antitse,antitra,handitry,antetse,antitra,atitry,ragnavavy,mavozo,antitry
109,raiky,reka,araiky,raike,araiky,raiky,araiky,araiky,raiky,iray,raiky,araiky,raiky,raike,ray,raike,iray,araiky,raike,raika,raiky,raiky,raiky,raiky
110,hafa,afa,hafa,hata,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa,hafa
111,olo,olona,olo,olo,olo,olo,olo,olo,olona,olona,olo,ologno,olo,ndaty,olo,olo,olona,ologno,ndaty,olona,olo,olo,olo,olo
112,miisa,mibolo,misoma,misa,misaoma,misa,misoma,misoma,misoma,milalao,miisa,midola,mihira,mihisa,milalao,mihisa,milalao,misaoma,mihisa,milalao,mihira,mihira,mihira,mihisa
113,mitifitsy,mitifitra,mitifitry,mitititse,mitifitry,mitifitsy,mitifitry,mitifitry,manifitra,mitifitra,mitifitry,mitifitry,mitifisy,mitifitse,mitifitra,mitifitse,mikendry,mitifitry,mitifitse,mitifitra,mitifitry,mitifitry,mitifitry,mtifitry
114,mandonjy,manosika,mandronjy,mandronje,mandronjy,mandrosy,manosiky,miposy,manosika,manosika,manosiky,manosiky,manosiky,manoseke,manosika,manosike,manosika,manidigny,manoseke,manosika,manosiky,manosiky,magnatozeky,manosiky
115,ora,oran andro,mahalegny,ora,mahalegny,ora,oragna,mahaleny,orana,orana,ora,oragnandro,ora,oragne,orana,ora,orana,magnoragna,ora,orana,rikandro,oragna,arokandro,meriky
116,mena,mena,mena,mena,mena,mena,maina,maina,mena,mena,mena,mena,mena,mena,mena,mena,mena,maina,mena,mena,mena,mena,mena,mena
117,sabona,manjary,mety,mete,marigny,mety,mety,fagneragna,mety,mety,mety,manjary,mety,mete,mety,mete,mety,manjary,mete,mety,marigny,aminazy,izay,mety
118,kavana,ankavanana,ankahery,ankavana,ankavanana,havana,ankavanagna,ankahery,havanagna,havanana,havana,ankavanana,havana,havanagne,havanana,havana,ankavanana,ankahery,havagna,havagnana,akavana,havagna,akavana,havana
