ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
sakalavamaintirano-4_ashes-1,,sakalavamaintirano,4_ashes,lavenoky,lavenoky,l a v e n o k j,,Serva2011,,,^ l a v e n o k y $,default
betsimisarakamahanoro-4_ashes-1,,betsimisarakamahanoro,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
antankaranaambilobe-4_ashes-1,,antankaranaambilobe,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
mikeaanalamena-4_ashes-1,,mikeaanalamena,4_ashes,tany mavo,tany mavo,t a n j + m a v o,,Serva2011,,,^ t a n y + m a v o $,default
antankaranavohemar-4_ashes-1,,antankaranavohemar,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
masikoromiary-4_ashes-1,,masikoromiary,4_ashes,lavenoky,lavenoky,l a v e n o k j,,Serva2011,,,^ l a v e n o k y $,default
antankaranaantalaha-4_ashes-1,,antankaranaantalaha,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
sakalavaambanja-4_ashes-1,,sakalavaambanja,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
sakalavamajunga-4_ashes-1,,sakalavamajunga,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
merinaantananarivo-4_ashes-1,,merinaantananarivo,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
sakalavamorondava-4_ashes-1,,sakalavamorondava,4_ashes,lavenoky,lavenoky,l a v e n o k j,,Serva2011,,,^ l a v e n o k y $,default
betsimisarakafenoarivoest-4_ashes-1,,betsimisarakafenoarivoest,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
antanosytolagnaro-4_ashes-1,,antanosytolagnaro,4_ashes,lembokafo,lembokafo,l e m b o k a f o,,Serva2011,,,^ l e m b o k a f o $,default
antandroyambovombe-4_ashes-1,,antandroyambovombe,4_ashes,lavenoke,lavenoke,l a v e n o k e,,Serva2011,,,^ l a v e n o k e $,default
betsileofianarantsoa-4_ashes-1,,betsileofianarantsoa,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
vezotoliara-4_ashes-1,,vezotoliara,4_ashes,lavenoke,lavenoke,l a v e n o k e,,Serva2011,,,^ l a v e n o k e $,default
sihanakaambatondranzaka-4_ashes-1,,sihanakaambatondranzaka,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
tsimihetymandritsara-4_ashes-1,,tsimihetymandritsara,4_ashes,jofo,jofo,dz o f o,,Serva2011,,,^ j o f o $,default
mahafalyampanihy-4_ashes-1,,mahafalyampanihy,4_ashes,lavenoke,lavenoke,l a v e n o k e,,Serva2011,,,^ l a v e n o k e $,default
antambohoakamananjary-4_ashes-1,,antambohoakamananjary,4_ashes,lavenona,lavenona,l a v e n o n a,,Serva2011,,,^ l a v e n o n a $,default
antaisakavangaindrano-4_ashes-1,,antaisakavangaindrano,4_ashes,lakevo,lakevo,l a k e v o,,Serva2011,,,^ l a k e v o $,default
antaimoromanakara-4_ashes-1,,antaimoromanakara,4_ashes,lakevogna,lakevogna,l a k e v o g n a,,Serva2011,,,^ l a k e v o g n a $,default
zafisorofarafangana-4_ashes-1,,zafisorofarafangana,4_ashes,lakevo,lakevo,l a k e v o,,Serva2011,,,^ l a k e v o $,default
barabetroka-4_ashes-1,,barabetroka,4_ashes,lakevo,lakevo,l a k e v o,,Serva2011,,,^ l a k e v o $,default
sakalavamaintirano-5_at-1,,sakalavamaintirano,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
betsimisarakamahanoro-5_at-1,,betsimisarakamahanoro,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antankaranaambilobe-5_at-1,,antankaranaambilobe,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
mikeaanalamena-5_at-1,,mikeaanalamena,5_at,agne,agne,a g n e,,Serva2011,,,^ a g n e $,default
antankaranavohemar-5_at-1,,antankaranavohemar,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
masikoromiary-5_at-1,,masikoromiary,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antankaranaantalaha-5_at-1,,antankaranaantalaha,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
sakalavaambanja-5_at-1,,sakalavaambanja,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
sakalavamajunga-5_at-1,,sakalavamajunga,5_at,a,a,a,,Serva2011,,,^ a $,default
merinaantananarivo-5_at-1,,merinaantananarivo,5_at,any,any,a n j,,Serva2011,,,^ a n y $,default
sakalavamorondava-5_at-1,,sakalavamorondava,5_at,any,any,a n j,,Serva2011,,,^ a n y $,default
betsimisarakafenoarivoest-5_at-1,,betsimisarakafenoarivoest,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antanosytolagnaro-5_at-1,,antanosytolagnaro,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antandroyambovombe-5_at-1,,antandroyambovombe,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
betsileofianarantsoa-5_at-1,,betsileofianarantsoa,5_at,any,any,a n j,,Serva2011,,,^ a n y $,default
vezotoliara-5_at-1,,vezotoliara,5_at,ane,ane,a n e,,Serva2011,,,^ a n e $,default
sihanakaambatondranzaka-5_at-1,,sihanakaambatondranzaka,5_at,any,any,a n j,,Serva2011,,,^ a n y $,default
tsimihetymandritsara-5_at-1,,tsimihetymandritsara,5_at,akagny,akagny,a k a g n j,,Serva2011,,,^ a k a g n y $,default
mahafalyampanihy-5_at-1,,mahafalyampanihy,5_at,angne,angne,a ŋ g n e,,Serva2011,,,^ a ng n e $,default
antambohoakamananjary-5_at-1,,antambohoakamananjary,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antaisakavangaindrano-5_at-1,,antaisakavangaindrano,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
antaimoromanakara-5_at-1,,antaimoromanakara,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
zafisorofarafangana-5_at-1,,zafisorofarafangana,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
barabetroka-5_at-1,,barabetroka,5_at,agny,agny,a g n j,,Serva2011,,,^ a g n y $,default
sakalavamaintirano-6_backofaperson-1,,sakalavamaintirano,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
betsimisarakamahanoro-6_backofaperson-1,,betsimisarakamahanoro,6_backofaperson,lamosina,lamosina,l a m o s i n a,,Serva2011,,,^ l a m o s i n a $,default
antankaranaambilobe-6_backofaperson-1,,antankaranaambilobe,6_backofaperson,tahezagna,tahezagna,t a h e z a g n a,,Serva2011,,,^ t a h e z a g n a $,default
mikeaanalamena-6_backofaperson-1,,mikeaanalamena,6_backofaperson,taheza,taheza,t a h e z a,,Serva2011,,,^ t a h e z a $,default
antankaranavohemar-6_backofaperson-1,,antankaranavohemar,6_backofaperson,tahaizagna,tahaizagna,t a h a i z a g n a,,Serva2011,,,^ t a h a i z a g n a $,default
masikoromiary-6_backofaperson-1,,masikoromiary,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
