Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^ts	ts	tsy, tsara	MikeaAmpoakafo, VezoToliara, AntankaranaVohemar, SakalavaMorondava, AntankaranaAmbilobe, SakalavaAmbanja, MasikoroMiary, BaraBetroka, SakalavaMahajanga, AntanalanaItampolo, TsimihetyMandritsara, SihanakaAmbatondrazaka, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, BetsileoAmbalavao, AntambohoakaMananjary, AntandroyAmbovombe, MahafalyAmpanihy, SakalavaMaintirano, MerinaAntananarivo, BetsimisarakaMahanoro, BetsileoAmbositra, BetsimisarakaAntalaha, AntaisakaVangaindrano, AntanosyTolagnaro, AntaimoroManakara, ZafisoroFarafangana, VezoMorombe	100	U+005e U+0074 U+0073
^v	v	vady, valy	MahafalyAmpanihy, SihanakaAmbatondrazaka, AntandroyAmbovombe, MikeaAmpoakafo, AntankaranaAmbilobe, SakalavaAmbanja, BetsimisarakaAntalaha	100	U+005e U+0076
^z	z	zaho, zavo	BetsimisarakaMahanoro, TsimihetyMandritsara, BetsimisarakaBrickaville, BetsimisarakaAntalaha, AntaisakaVangaindrano, BetsimisarakaFenoarivo-Est, AntanosyBezaha, BaraBetroka, BaraRanohira, SakalavaAmbanja, AntankaranaVohemar, BetsimisarakaMarolambo, AntambohoakaMananjary, SakalavaMahajanga, BetsimisarakaAntsiranana, AntaimoroManakara, SakalavaMorondava, AntankaranaAmbilobe, VezoToliara, SihanakaAmbatondrazaka, AntanalanaAnakao, BetsileoFianarantsoa, BetsileoAmbalavao, TanalaIfanadiana, MikeaAmpoakafo, AntanosyTolagnaro, SakalavaMaintirano, VezoMorombe, MasikoroMiary, MerinaAntananarivo, ZafisoroFarafangana, AntanalanaManorofify, BetsileoAmbositra, AntandroyAmbovombe, MahafalyAmpanihy, AntandroyToliara	100	U+005e U+007a
_	_	amin ny, mitomboke meso	AntandroyToliara, BetsimisarakaMahanoro, AntambohoakaMananjary, AntandroyAmbovombe, ZafisoroFarafangana, SihanakaAmbatondrazaka, BetsimisarakaMarolambo, AntanosyTolagnaro, MasikoroMiary, BetsimisarakaAntalaha, TanalaIfanadiana, AntaimoroManakara, AntankaranaAmbilobe, MerinaAntananarivo, AntankaranaVohemar, BetsileoAmbositra, BetsileoFianarantsoa, BetsileoAmbalavao, AntanosyBezaha, BaraBetroka, BetsimisarakaToamasina, SakalavaMahajanga, BetsimisarakaAntsiranana, MahafalyAmpanihy, AntanalanaItampolo, SakalavaMaintirano, TsimihetyMandritsara, VezoMorombe, SakalavaMorondava, BetsimisarakaBrickaville, SakalavaAmbanja, VezoToliara, AntanalanaManorofify, AntaisakaVangaindrano, AntanalanaAnakao, BetsimisarakaFenoarivo-Est, BaraRanohira, BetsimisarakaMananara, MikeaAmpoakafo	100	U+005f
a	a	manapaka, hodikakazo	SakalavaAmbanja	100	U+0061
a$	a	bibilava, hafa	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+0061 U+0024
aa$	aː	mandiaa	BetsimisarakaTanambaoManampotsy	1	U+0061 U+0061 U+0024
b	b	boribory, biby	MahafalyAmpanihy, MikeaAmpoakafo, AntandroyAmbovombe, SihanakaAmbatondrazaka, SakalavaAmbanja, AntankaranaAmbilobe, BetsimisarakaAntalaha	100	U+0062
c	c	miconty	BetsimisarakaAntsiranana	1	U+0063
d	d	vady, mandoa	AntankaranaAmbilobe, SakalavaAmbanja, SihanakaAmbatondrazaka, AntandroyAmbovombe, MahafalyAmpanihy	100	U+0064
e	e	hely, lela	SakalavaAmbanja, AntankaranaAmbilobe, SihanakaAmbatondrazaka	100	U+0065
